category_id,name,slug,image_path,original_path
13,วัตถุดิบบรรจุภัณฑ์,packaging_raw_materials,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_13_packaging_raw_materials.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0194c543ae268b1c016a4e79a5b1488198af3d1794223cbca8.png
14,น้ำมันและไขมัน,oils_fats,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_14_oils_fats.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e833ab11723651e016a4e7a5706548195bb2e30d391cc4678.png
16,วัตถุดิบอื่นๆ,other_raw_materials,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_16_other_raw_materials.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e833ab11723651e016a4e7a94c41c81959baa2a4657cde2e8.png
17,ทรายแมว,cat_litter,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_17_cat_litter.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e833ab11723651e016a4e7ad0b92c81959cf63dbb5706caf2.png
18,อาหารแปรรูปและพร้อมทาน,processed_ready_to_eat_food,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_18_processed_ready_to_eat_food.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e833ab11723651e016a4e7b0bd9708195b36706755a9fc0f2.png
19,ขนมและของหวาน,desserts_sweets,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_19_desserts_sweets.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e833ab11723651e016a4e7b5a9b5081959cac4f1190f16a7b.png
20,เครื่องดื่มและผงชงดื่ม,drinks_powdered_beverages,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_20_drinks_powdered_beverages.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e833ab11723651e016a4e7b93cc6881959d574d98032a4b78.png
21,อาหารเสริมและสุขภาพ,supplements_health_food,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_21_supplements_health_food.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e833ab11723651e016a4e7bd41f608195ad25fe9979b59452.png
22,เครื่องปรุงรสและซอส,seasoning_sauces,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_22_seasoning_sauces.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e833ab11723651e016a4e7c24cb848195a34542b296852923.png
23,ขนมขบเคี้ยว (Snack),snacks,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_23_snacks.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e833ab11723651e016a4e7c5e68d48195854760bfe2772a19.png
24,ผลิตภัณฑ์นมและไข่,dairy_egg_products,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_24_dairy_egg_products.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e833ab11723651e016a4e7c97215c81958536f248269f2906.png
25,เสื้อผ้าสำเร็จรูป,ready_to_wear_clothing,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_25_ready_to_wear_clothing.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e833ab11723651e016a4e7cd08cc0819588775841c84def91.png
26,ชุดกีฬาและ Activewear,sportswear_activewear,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_26_sportswear_activewear.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e833ab11723651e016a4e7d2715f0819583c07b9811490b5f.png
27,ชุดชั้นในและชุดนอน,underwear_sleepwear,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_27_underwear_sleepwear.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e833ab11723651e016a4e7d7e22248195bdf57003db9bb67a.png
28,เสื้อผ้าเด็ก,children_clothing,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_28_children_clothing.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e12495a9c5f3050016a4e7df2719481919c357dbd851fa303.png
29,ชุดทำงานและยูนิฟอร์ม,workwear_uniforms,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_29_workwear_uniforms.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e12495a9c5f3050016a4e7e2c926c8191a39c116ab5c02b87.png
30,กระเป๋าและเครื่องหนัง,bags_leather_goods,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_30_bags_leather_goods.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e12495a9c5f3050016a4e7e83bd1481919badf7579a24e3af.png
31,หมวก รองเท้า และเครื่องประดับแฟชั่น,fashion_accessories,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_31_fashion_accessories.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e12495a9c5f3050016a4e7eeed9608191a2fdd6e4d0baa360.png
32,ผ้าทอและผ้าถัก,woven_knitted_fabrics,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_32_woven_knitted_fabrics.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e12495a9c5f3050016a4e7f4d159c8191819bc6195e3d7b26.png
33,ผ้า Technical และผ้าเฉพาะทาง,technical_specialty_fabrics,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_33_technical_specialty_fabrics.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e12495a9c5f3050016a4e7fa90e888191b8e09250512529c2.png
34,ด้ายและด้ายปัก,thread_embroidery_thread,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_34_thread_embroidery_thread.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e12495a9c5f3050016a4e7fff744c8191bf589700a8531cba.png
35,ซิป กระดุม และอุปกรณ์ประกอบ,zippers_buttons_accessories,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_35_zippers_buttons_accessories.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e12495a9c5f3050016a4e804ce468819186777e94aab9fd36.png
36,วัสดุซับในและฟองน้ำ,lining_foam_materials,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_36_lining_foam_materials.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0e12495a9c5f3050016a4e80b80f3881919c0be0bc9800bf6b.png
